group,n,sum_amount_usd,naive_loss_usd,robust_loss_usd,robust_loss_rate_bps,incremental_loss_usd,rate_excess_over_A_bps
A,1795,823980.2552639999,190.31784430141914,164.09706165117944,1.9915169156402106,,
B,393,153096.415082,32.02964668385367,33.06723937942126,2.1598963869735366,2.577829343453459,0.16837947133332598
B2,128,60922.591854000006,11.4601189343339,12.956176859450341,2.126662124044165,0.8233396372617898,0.1351452084039546
