amm_type,n,linear_coef_bps_per_ms,linear_std_err_bps_per_ms,linear_t,linear_p,linear_intercept_bps,linear_r2,loglog_slope,loglog_p,loglog_r2
humidifi,1962,0.0038839904876171237,0.0053326225252138815,0.7283452877552671,0.46648925304198924,3.2003867478072445,0.00027058332515161876,-0.0034418662457588152,0.8940975817496198,9.043712926981584e-06
whirlpool,3605,2.239599508681389e-05,9.214029574080456e-05,0.2430640677539715,0.8079696026756202,3.981203939763313,1.6397216842323203e-05,-0.010526658669404918,0.10964137976199112,0.0007101939834150972
raydium,8338,-0.0010573772992542249,0.0011014536137707487,-0.9599835036487542,0.33709136025067477,8.810074066991088,0.00011054060179527259,-0.008593746806478356,0.10950863354872148,0.0003073023951735143
orca,0,,,,,,,,,
