group,n,mean_amount_usd,sum_amount_usd,mean_dev_bps,median_dev_bps,mean_profit_bps_t5,toxic_rate_t5,n_with_future_t5,mean_profit_bps_t30,toxic_rate_t30,n_with_future_t30,mean_profit_bps_t60,toxic_rate_t60,n_with_future_t60
A (consec=0),1795,459.0419249381615,823980.2552639999,2.3097379225481816,0.8934519884503811,0.045218239223411144,0.13370473537604458,1795,0.08111446273770712,0.32144846796657384,1795,-0.281450694804307,0.3498607242339833,1795
B (consec>=1),393,389.5583080966921,153096.415082,2.09212257953253,1.017445592634,-0.7940567842075659,0.09923664122137404,393,-0.8824511446760841,0.3384223918575064,393,-1.107300394954786,0.36895674300254455,393
B2 (consec>=2),128,475.95774885937504,60922.591854000006,1.8810951053753406,1.2409880892845,-0.573687962067493,0.09375,128,-0.7319974378221981,0.328125,128,-0.2759456870777955,0.375,128
C (no prior oracle),3340,519.7842990026946,1736079.558669,1.892895889257662,0.8993999306485897,-0.5279121055564888,0.11047904191616767,3340,-0.6669871041807145,0.29161676646706586,3340,-0.8914215067526088,0.33023952095808384,3340
ALL (A+B+B2 union),2188,446.56154951828154,977076.670346,2.2706507060010375,0.917845956451772,-0.10552905703270125,0.12751371115173674,2188,-0.09195742195773152,0.32449725776965266,2188,-0.429786587015979,0.353290676416819,2188
