test,col,g1,n1,g2,n2,g1_mean,g2_mean,diff,t,p
dev_bps: A vs B,dev_bps,A,1795,B,393,2.3097379225481816,2.09212257953253,-0.21761534301565177,0.3818841245148527,0.7025856698352057
dev_bps: A vs B2,dev_bps,A,1795,B2,128,2.3097379225481816,1.8810951053753406,-0.4286428171728409,0.7310201879557845,0.4648683799516966
taker_profit_bps_30: A vs B,taker_profit_bps_30,A,1795,B,393,0.08111446273770712,-0.8824511446760841,-0.9635656074137913,1.3707158642375015,0.17060859532398817
taker_profit_bps_30: A vs B2,taker_profit_bps_30,A,1795,B2,128,0.08111446273770712,-0.7319974378221981,-0.8131119005599052,0.9678427029587338,0.33357053971077205
