amm_type,n,slope_bps_per_decade,slope_std_err,slope_t,slope_p,intercept_bps,r2,loglog_slope,loglog_p,loglog_r2,loglog_n
humidifi,4782,-2.2615612134606904,0.28175449920649837,-8.026708428188003,1.2498749222398047e-15,7.242406377629443,0.013299412758375095,-0.18957013491999017,2.6476144983912262e-64,0.058215092461417095,4782
whirlpool,2105,0.2014218242994759,0.03668625834254491,5.490388864919696,4.494878774309449e-08,0.8773036460799764,0.014131425098816264,0.060469865233012204,8.352777349759081e-07,0.011479251722940398,2105
raydium,3466,0.791184552984802,2.607415243975933,0.3034363455582009,0.7615755733852367,3.684289362861931,2.6579436646079202e-05,0.05266026533525459,2.416623238645514e-07,0.007669991391455189,3466
orca,0,,,,,,,,,,0
