open_time_ms,open,high,low,close,volume,close_time_ms,quote_volume,trades,taker_base_vol,taker_quote_vol
1776384000000,89.08000000,89.09000000,89.08000000,89.09000000,5.05600000,1776384000999,450.43837000,5,4.98900000,444.47001000
1776384001000,89.10000000,89.11000000,89.10000000,89.11000000,3.14100000,1776384001999,279.87505000,3,3.14100000,279.87505000
1776384002000,89.10000000,89.10000000,89.10000000,89.10000000,10.36500000,1776384002999,923.52150000,3,5.03900000,448.97490000
1776384003000,89.10000000,89.12000000,89.10000000,89.12000000,23.49600000,1776384003999,2093.65024000,11,23.49600000,2093.65024000
1776384004000,89.12000000,89.12000000,89.12000000,89.12000000,9.32700000,1776384004999,831.22224000,3,9.32700000,831.22224000
1776384005000,89.11000000,89.11000000,89.10000000,89.10000000,27.45100000,1776384005999,2445.93736000,7,22.12500000,1971.33750000
1776384006000,89.10000000,89.10000000,89.10000000,89.10000000,0.30300000,1776384006999,26.99730000,1,0.30300000,26.99730000
1776384007000,89.09000000,89.14000000,89.09000000,89.14000000,77.78500000,1776384007999,6931.90432000,27,75.68400000,6744.72623000
1776384008000,89.14000000,89.14000000,89.13000000,89.14000000,111.64600000,1776384008999,9951.94442000,12,106.32000000,9477.18478000
1776384009000,89.14000000,89.14000000,89.14000000,89.14000000,12.95500000,1776384009999,1154.80870000,1,12.95500000,1154.80870000
1776384010000,89.13000000,89.13000000,89.13000000,89.13000000,1.12200000,1776384010999,100.00386000,2,0.00000000,0.00000000
1776384011000,89.14000000,89.14000000,89.13000000,89.13000000,16.03400000,1776384011999,1429.11192000,10,6.39000000,569.54220000
1776384012000,89.13000000,89.13000000,89.12000000,89.12000000,29.17200000,1776384012999,2600.09762000,6,28.89800000,2575.67874000
1776384013000,89.13000000,89.15000000,89.13000000,89.15000000,29.78200000,1776384013999,2654.84496000,15,29.78200000,2654.84496000
1776384014000,89.15000000,89.15000000,89.15000000,89.15000000,7.99900000,1776384014999,713.11085000,3,7.99900000,713.11085000
1776384015000,89.15000000,89.15000000,89.12000000,89.12000000,47.09700000,1776384015999,4198.20842000,15,22.19400000,1978.21828000
1776384016000,89.12000000,89.12000000,89.12000000,89.12000000,0.00000000,1776384016999,0.00000000,0,0.00000000,0.00000000
1776384017000,89.12000000,89.12000000,89.12000000,89.12000000,0.00000000,1776384017999,0.00000000,0,0.00000000,0.00000000
1776384018000,89.13000000,89.13000000,89.13000000,89.13000000,5.88400000,1776384018999,524.44092000,1,5.88400000,524.44092000
1776384019000,89.12000000,89.12000000,89.12000000,89.12000000,5.38200000,1776384019999,479.64384000,3,0.00000000,0.00000000
1776384020000,89.12000000,89.12000000,89.12000000,89.12000000,0.00000000,1776384020999,0.00000000,0,0.00000000,0.00000000
1776384021000,89.12000000,89.12000000,89.12000000,89.12000000,1.20300000,1776384021999,107.21136000,4,1.20300000,107.21136000
1776384022000,89.12000000,89.14000000,89.12000000,89.14000000,2.62500000,1776384022999,233.96553000,4,2.62500000,233.96553000
1776384023000,89.14000000,89.14000000,89.14000000,89.14000000,0.00000000,1776384023999,0.00000000,0,0.00000000,0.00000000
1776384024000,89.14000000,89.14000000,89.14000000,89.14000000,0.00000000,1776384024999,0.00000000,0,0.00000000,0.00000000
1776384025000,89.15000000,89.15000000,89.15000000,89.15000000,0.06000000,1776384025999,5.34900000,1,0.06000000,5.34900000
1776384026000,89.15000000,89.15000000,89.15000000,89.15000000,0.00000000,1776384026999,0.00000000,0,0.00000000,0.00000000
1776384027000,89.15000000,89.15000000,89.15000000,89.15000000,0.00000000,1776384027999,0.00000000,0,0.00000000,0.00000000
1776384028000,89.15000000,89.15000000,89.15000000,89.15000000,0.13400000,1776384028999,11.94610000,2,0.13400000,11.94610000
1776384029000,89.15000000,89.15000000,89.15000000,89.15000000,0.00000000,1776384029999,0.00000000,0,0.00000000,0.00000000
1776384030000,89.15000000,89.15000000,89.15000000,89.15000000,0.00000000,1776384030999,0.00000000,0,0.00000000,0.00000000
1776384031000,89.15000000,89.15000000,89.15000000,89.15000000,0.06700000,1776384031999,5.97305000,1,0.06700000,5.97305000
1776384032000,89.15000000,89.15000000,89.15000000,89.15000000,0.17400000,1776384032999,15.51210000,2,0.17400000,15.51210000
1776384033000,89.15000000,89.15000000,89.13000000,89.13000000,27.62500000,1776384033999,2462.41241000,11,0.27700000,24.69169000
1776384034000,89.13000000,89.14000000,89.13000000,89.14000000,0.37500000,1776384034999,33.42691000,8,0.37500000,33.42691000
1776384035000,89.14000000,89.16000000,89.14000000,89.16000000,0.68200000,1776384035999,60.80346000,12,0.62200000,55.45506000
1776384036000,89.16000000,89.16000000,89.16000000,89.16000000,0.31300000,1776384036999,27.90708000,4,0.31300000,27.90708000
